geometry,time_s,obs_sigma_ratio,position_error_mean_m
stationary,0.0,0.0,8.944455410287862
stationary,1.0,3.280564548275432e-17,8.312835627976273
stationary,2.0,3.0109512378675947e-17,7.702970552781929
stationary,3.0,3.747710653194018e-17,7.074031080098744
stationary,4.0,3.1694303822757096e-17,6.700194569532333
stationary,5.0,3.27894527568786e-17,6.295567735726512
stationary,6.0,1.5244706732679585e-17,6.082360730585978
stationary,7.0,2.533333464975228e-17,5.96122106529633
stationary,8.0,2.307925773215825e-17,5.973127559240707
stationary,9.0,1.7769380053369945e-17,6.293964018705542
stationary,10.0,2.1332818938628997e-17,6.674772078928186
stationary,11.0,1.4721346395951005e-17,7.181960243787064
stationary,12.0,1.3309057476330468e-17,7.852833157255118
stationary,13.0,2.520776914872213e-17,8.60686637998438
stationary,14.0,2.0273537383699616e-17,9.45591731338121
stationary,15.0,3.51542802784951e-17,10.43889527226824
stationary,16.0,3.108007700935747e-17,11.435308527139618
stationary,17.0,2.287586163363104e-17,12.484336173680692
stationary,18.0,2.7673532153896177e-17,13.50737925989282
stationary,19.0,3.8211141912583885e-17,14.55846054295147
stationary,20.0,4.01576241540433e-17,15.65850142058037
stationary,21.0,4.964740438746045e-17,16.637008455717798
stationary,22.0,5.735335523765327e-17,17.78090847985394
stationary,23.0,4.96581192060791e-17,18.93915648242968
stationary,24.0,3.848047148798944e-17,20.17414452235512
stationary,25.0,3.629835025898069e-17,21.101741426228426
stationary,26.0,3.689052554577764e-17,22.12377281004982
stationary,27.0,3.84620022964029e-17,23.116224838390963
stationary,28.0,3.400914991835381e-17,23.925329840513115
stationary,29.0,3.291783797717135e-17,24.911965144328143
stationary,30.0,3.3719041932922207e-17,25.69317118900279
stationary,31.0,3.4290324058674963e-17,26.428076835916265
stationary,32.0,3.4554755009944987e-17,27.241879587121616
stationary,33.0,3.914572427580888e-17,27.921477806401374
stationary,34.0,4.0803567246325706e-17,28.66743898770691
stationary,35.0,3.8856625180997117e-17,29.31216715672601
stationary,36.0,4.3850906556705456e-17,30.009620559861823
stationary,37.0,4.4905424962234286e-17,30.612236833636512
stationary,38.0,3.926579428776464e-17,30.999973888736115
stationary,39.0,4.296920404122543e-17,31.36522402787598
stationary,40.0,4.4602253717760753e-17,31.700777021232703
stationary,41.0,3.7742727844419377e-17,32.078199500422706
stationary,42.0,4.3309140889323126e-17,32.34889705703278
stationary,43.0,3.550516221874016e-17,32.742705661738405
stationary,44.0,3.842405470152709e-17,33.03310762034682
stationary,45.0,3.616292603568161e-17,33.27790695808539
stationary,46.0,3.772088822676244e-17,33.56579000004376
stationary,47.0,3.430235572357564e-17,33.789330309511215
stationary,48.0,3.3761577088333946e-17,33.95873951860542
stationary,49.0,3.4091924611953504e-17,33.988001168833264
stationary,50.0,3.660668976172195e-17,34.14319057746871
stationary,51.0,3.9763075401563535e-17,34.35514540561027
stationary,52.0,3.752865717121049e-17,34.324049323966854
stationary,53.0,3.449598611905514e-17,34.27783504944119
stationary,54.0,4.386029969130912e-17,34.332359774768385
