rank,alpha,beta,c_lambda,correct_lock_fraction,wrong_lock_fraction,catastrophic_collapse_fraction,dominant_clone_fraction,final_correct_mode_fraction_mean,minimum_unique_parent_fraction_mean,mean_moved_fraction
1,0.5,0.0,2.0,0.9375,0.0,0.0625,0.625,0.993125,0.40234375,0.03987890625
2,1.0,0.0,4.0,0.9375,0.0,0.0625,0.625,0.988125,0.42515625,0.028896484375
3,2.0,0.0,8.0,1.0,0.0,0.125,0.6875,0.99203125,0.45734374999999994,0.0234609375
4,2.0,0.0,4.0,0.875,0.0625,0.4375,0.9375,0.924375,0.238125,0.038337890624999996
5,0.5,2.0,1.0,0.75,0.1875,0.625,0.625,0.75,0.08390625,0.13542578125
6,1.0,2.0,1.0,0.75,0.25,0.8125,0.75,0.75,0.054531249999999996,0.10564648437499999
7,0.5,0.5,0.5,0.75,0.25,1.0,1.0,0.75,0.0315625,0.06776953125
8,1.0,1.0,0.5,0.75,0.25,1.0,1.0,0.75,0.0315625,0.06776953125
9,2.0,2.0,0.5,0.75,0.25,1.0,1.0,0.75,0.0315625,0.06776953125
10,1.0,0.0,2.0,0.6875,0.0625,0.4375,0.9375,0.81,0.26671875,0.0322109375
11,0.5,2.0,0.5,0.6875,0.25,0.9375,0.5,0.6875,0.060937500000000006,0.137615234375
12,0.5,1.0,1.0,0.6875,0.3125,0.8125,0.875,0.6875,0.05515624999999999,0.10708984375
13,0.5,1.0,0.5,0.6875,0.3125,0.9375,0.8125,0.6875,0.04625,0.107439453125
14,1.0,2.0,0.5,0.6875,0.3125,0.9375,0.8125,0.6875,0.04625,0.107439453125
15,2.0,2.0,1.0,0.6875,0.3125,0.9375,0.9375,0.68765625,0.04984375,0.06876171875
16,1.0,0.5,1.0,0.6875,0.3125,1.0,0.75,0.6875,0.045937500000000006,0.04721875
17,0.5,0.5,1.0,0.6875,0.3125,1.0,0.9375,0.6875,0.045625000000000006,0.070828125
18,1.0,1.0,1.0,0.6875,0.3125,1.0,1.0,0.6875,0.045312500000000006,0.069341796875
19,0.5,0.0,4.0,0.625,0.0,0.0,0.25,0.9606250000000001,0.64625,0.012197265625000002
20,2.0,0.5,2.0,0.625,0.1875,0.9375,0.625,0.70765625,0.065,0.03643359375
21,1.0,0.0,8.0,0.5,0.0,0.0,0.1875,0.86875,0.6482812499999999,0.010136718749999999
22,2.0,0.0,2.0,0.5,0.4375,0.875,1.0,0.55328125,0.034531250000000006,0.031966796875
23,2.0,0.5,1.0,0.5,0.4375,1.0,1.0,0.5,0.04703125,0.038103515625
24,2.0,0.5,0.5,0.5,0.4375,1.0,1.0,0.5,0.0296875,0.037494140625000005
25,2.0,1.0,1.0,0.5,0.5,1.0,0.75,0.5,0.045937500000000006,0.047916015625
26,1.0,0.5,0.5,0.5,0.5,1.0,0.875,0.5,0.02796875,0.0479609375
27,2.0,1.0,0.5,0.5,0.5,1.0,0.875,0.5,0.02796875,0.0479609375
28,1.0,0.5,8.0,0.4375,0.0,0.0,0.3125,0.74703125,0.4525,0.020650390625
29,0.5,0.5,4.0,0.4375,0.0625,0.0,0.25,0.70765625,0.494375,0.034123046875
30,0.5,2.0,2.0,0.4375,0.0625,0.0,0.375,0.69703125,0.15421875000000002,0.1183046875
31,0.5,0.5,2.0,0.4375,0.0625,0.1875,0.3125,0.71484375,0.14609375000000002,0.053478515625
32,2.0,0.5,8.0,0.4375,0.125,0.125,0.5625,0.67765625,0.30343749999999997,0.032183593749999996
33,1.0,1.0,8.0,0.375,0.0625,0.0,0.1875,0.665625,0.5071874999999999,0.032197265625
34,1.0,2.0,2.0,0.375,0.0625,0.4375,0.25,0.68875,0.11249999999999999,0.09308398437500001
35,2.0,2.0,2.0,0.375,0.125,0.8125,0.375,0.5684374999999999,0.07218749999999999,0.057746093750000005
36,1.0,0.5,2.0,0.3125,0.0,0.5625,0.375,0.6431250000000001,0.085,0.040166015625
37,0.5,1.0,2.0,0.3125,0.0625,0.1875,0.1875,0.641875,0.1409375,0.088234375
38,1.0,1.0,2.0,0.3125,0.125,0.6875,0.3125,0.5759375,0.08875,0.053601562500000005
39,2.0,1.0,8.0,0.3125,0.25,0.125,0.75,0.430625,0.2390625,0.04044140625
40,2.0,0.5,4.0,0.3125,0.25,0.25,0.6875,0.5154687499999999,0.16234375,0.0349609375
41,0.5,1.0,4.0,0.25,0.0625,0.0625,0.1875,0.54609375,0.37390625,0.062833984375
42,2.0,1.0,2.0,0.25,0.125,0.8125,0.5625,0.5562499999999999,0.06609374999999999,0.040498046875
43,1.0,0.0,1.0,0.25,0.6875,1.0,1.0,0.2503125,0.005,0.012462890624999999
44,2.0,0.0,1.0,0.25,0.6875,1.0,1.0,0.2503125,0.005,0.01246484375
45,0.5,0.0,1.0,0.25,0.6875,1.0,1.0,0.25,0.005,0.012468749999999999
46,0.5,0.0,0.5,0.25,0.6875,1.0,1.0,0.25,0.0025,0.01246875
47,1.0,0.0,0.5,0.25,0.6875,1.0,1.0,0.25,0.0025,0.01246875
48,2.0,0.0,0.5,0.25,0.6875,1.0,1.0,0.25,0.0025,0.01246875
49,1.0,2.0,4.0,0.1875,0.0625,0.0,0.0625,0.59875,0.19765624999999998,0.080470703125
50,1.0,1.0,4.0,0.1875,0.125,0.1875,0.3125,0.47890625,0.1990625,0.050289062499999995
51,2.0,2.0,4.0,0.1875,0.125,0.375,0.125,0.51171875,0.1140625,0.049945312500000005
52,1.0,0.5,4.0,0.1875,0.1875,0.1875,0.5625,0.49296875,0.24812499999999998,0.043591796875000005
53,1.0,2.0,8.0,0.125,0.0,0.0,0.1875,0.6025,0.4421875,0.058017578125
54,2.0,2.0,8.0,0.125,0.0,0.0625,0.375,0.4903125,0.25703125,0.047865234374999996
55,2.0,1.0,4.0,0.125,0.1875,0.25,0.4375,0.42374999999999996,0.12718749999999998,0.03937890625
56,0.5,1.0,8.0,0.0625,0.0,0.0,0.0,0.52890625,0.6465624999999999,0.02640625
57,0.5,2.0,4.0,0.0625,0.0,0.0,0.125,0.60296875,0.27,0.10019921874999999
58,0.5,2.0,8.0,0.0625,0.0,0.0,0.125,0.586875,0.44296875,0.07332421875
59,0.5,0.0,8.0,0.0,0.0,0.0,0.0625,0.53609375,0.84453125,0.003755859375
60,0.5,0.5,8.0,0.0,0.0,0.0,0.1875,0.52609375,0.67109375,0.009515625
