rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,0,0,0,0,0,0,0,0,0,0
0,0.1,0.006603416,0.001841394,0.009453056,0.003061288,0.001292978,0.004807382,0.005726573,0.001798528,0.008420172
0,0.2,0.01320232,0.003679382,0.01889378,0.006120173,0.00257171,0.009565574,0.01145037,0.003599965,0.01685188
0,0.3,0.01979888,0.005513816,0.02832992,0.009175484,0.003849227,0.01428115,0.01717115,0.00540604,0.02529928
0,0.4,0.0263828,0.00735358,0.03773169,0.01222409,0.005128676,0.01893072,0.02288114,0.007215493,0.03374032
0,0.5,0.0329652,0.009203608,0.04713858,0.01527247,0.006410404,0.02353669,0.02858988,0.009032506,0.04219474
0,0.6,0.03956013,0.01105389,0.05653553,0.01832625,0.007694621,0.02815343,0.03430995,0.0108488,0.05067126
0,0.7,0.04615407,0.01290575,0.06597087,0.02137509,0.008979753,0.03279323,0.04003081,0.01266839,0.05912604
0,0.8,0.05274777,0.01475824,0.07543579,0.02441772,0.01026603,0.03742916,0.04575478,0.0144876,0.06751977
0,0.9,0.05934679,0.01660673,0.08487995,0.02745871,0.01155732,0.04205329,0.05148485,0.01630217,0.07590256
0,1,0.06593836,0.01845881,0.09432963,0.03049939,0.01284285,0.04668551,0.05720753,0.018121,0.08428324
0,1.1,0.07252957,0.02030167,0.103754,0.03353849,0.01412964,0.05128135,0.06293088,0.01992877,0.09267393
0,1.2,0.07911771,0.02214284,0.1131453,0.03658062,0.01541535,0.05586628,0.06864874,0.02173666,0.101039
0,1.3,0.08571098,0.02396993,0.1225254,0.03962531,0.01670422,0.06047412,0.07437024,0.02353107,0.1093938
0,1.4,0.09230644,0.02578617,0.1319121,0.04267905,0.01799685,0.06512298,0.0800889,0.02531347,0.1177054
0,1.5,0.09889373,0.02759576,0.1412888,0.04574115,0.01927721,0.06976316,0.08579427,0.02709594,0.1259685
0,1.6,0.1054776,0.02940683,0.1506769,0.04880583,0.02055521,0.0743848,0.09149384,0.02888327,0.1341909
0,1.7,0.1120632,0.03122685,0.1600775,0.05186945,0.02183561,0.07900653,0.09719446,0.03068287,0.1424295
0,1.8,0.1186475,0.03305325,0.1694887,0.05492838,0.02310606,0.08364929,0.1028978,0.0324902,0.1506987
0,1.9,0.1252263,0.034885,0.178922,0.05798082,0.02437937,0.08834034,0.1085991,0.03429824,0.1589671
0,2,0.1318046,0.03672198,0.1883861,0.06102647,0.02565293,0.09304574,0.1143038,0.03611054,0.1672752
0,2.1,0.1383847,0.03856082,0.1978862,0.06407625,0.02692493,0.09776763,0.1200076,0.03792831,0.1756022
0,2.2,0.1449661,0.04039528,0.2073893,0.0671302,0.02820137,0.1025098,0.1257091,0.03974332,0.1839296
0,2.3,0.1515415,0.04222197,0.2168615,0.07017231,0.02947952,0.1072378,0.1314087,0.04155398,0.1922349
0,2.4,0.1581119,0.04404981,0.2263418,0.07321055,0.03075049,0.1119719,0.1371057,0.04336685,0.200534
0,2.5,0.1646773,0.04588327,0.2358238,0.0762484,0.03201154,0.1166987,0.1427993,0.04518567,0.2088138
0,2.6,0.1712378,0.0477266,0.2452924,0.07928395,0.03326022,0.1213932,0.1484904,0.04701661,0.2171001
0,2.7,0.1778057,0.04957262,0.2547392,0.08232326,0.03449855,0.1260679,0.1541894,0.04885313,0.2253778
0,2.8,0.1843816,0.05141993,0.264205,0.08536518,0.03574513,0.1307882,0.1598953,0.05068817,0.2336272
0,2.9,0.1909484,0.05327311,0.2736725,0.08839493,0.03699905,0.1354822,0.1655967,0.05252573,0.2418458
0,3,0.1975167,0.05512572,0.2831275,0.09143168,0.03825503,0.1401885,0.1712967,0.05435887,0.2500584
0,3.1,0.2040908,0.05698741,0.2926343,0.09447254,0.03951874,0.1449216,0.1770006,0.05619828,0.2582799
0,3.2,0.2106671,0.05885535,0.3021573,0.09751185,0.04078636,0.1496501,0.1827072,0.05804309,0.2665004
