seed,budget,policy,pair,exchanges
0,180,cyclic,1-2,30
0,180,cyclic,1-3,30
0,180,cyclic,1-4,30
0,180,cyclic,2-3,30
0,180,cyclic,2-4,30
0,180,cyclic,3-4,30
0,180,random,1-2,30
0,180,random,1-3,28
0,180,random,1-4,26
0,180,random,2-3,30
0,180,random,2-4,34
0,180,random,3-4,32
0,180,geometry,1-2,27
0,180,geometry,1-3,33
0,180,geometry,1-4,29
0,180,geometry,2-3,28
0,180,geometry,2-4,30
0,180,geometry,3-4,33
0,180,information,1-2,27
0,180,information,1-3,37
0,180,information,1-4,32
0,180,information,2-3,22
0,180,information,2-4,28
0,180,information,3-4,34
0,360,cyclic,1-2,60
0,360,cyclic,1-3,60
0,360,cyclic,1-4,60
0,360,cyclic,2-3,60
0,360,cyclic,2-4,60
0,360,cyclic,3-4,60
0,360,random,1-2,59
0,360,random,1-3,67
0,360,random,1-4,53
0,360,random,2-3,52
0,360,random,2-4,70
0,360,random,3-4,59
0,360,geometry,1-2,57
0,360,geometry,1-3,65
0,360,geometry,1-4,58
0,360,geometry,2-3,57
0,360,geometry,2-4,55
0,360,geometry,3-4,68
0,360,information,1-2,52
0,360,information,1-3,70
0,360,information,1-4,66
0,360,information,2-3,46
0,360,information,2-4,52
0,360,information,3-4,74
0,720,cyclic,1-2,120
0,720,cyclic,1-3,120
0,720,cyclic,1-4,120
0,720,cyclic,2-3,120
0,720,cyclic,2-4,120
0,720,cyclic,3-4,120
0,720,random,1-2,115
0,720,random,1-3,111
0,720,random,1-4,125
0,720,random,2-3,122
0,720,random,2-4,114
0,720,random,3-4,133
0,720,geometry,1-2,111
0,720,geometry,1-3,131
0,720,geometry,1-4,117
0,720,geometry,2-3,114
0,720,geometry,2-4,111
0,720,geometry,3-4,136
0,720,information,1-2,106
0,720,information,1-3,145
0,720,information,1-4,134
0,720,information,2-3,90
0,720,information,2-4,94
0,720,information,3-4,151
1,180,cyclic,1-2,30
1,180,cyclic,1-3,30
1,180,cyclic,1-4,30
1,180,cyclic,2-3,30
1,180,cyclic,2-4,30
1,180,cyclic,3-4,30
1,180,random,1-2,33
1,180,random,1-3,31
1,180,random,1-4,23
1,180,random,2-3,34
1,180,random,2-4,32
1,180,random,3-4,27
1,180,geometry,1-2,28
1,180,geometry,1-3,32
1,180,geometry,1-4,29
1,180,geometry,2-3,29
1,180,geometry,2-4,29
1,180,geometry,3-4,33
1,180,information,1-2,26
1,180,information,1-3,36
1,180,information,1-4,32
1,180,information,2-3,22
1,180,information,2-4,29
