policy,time_s,pair
cyclic,0.2,1-2
cyclic,0.4,1-3
cyclic,0.5,1-4
cyclic,0.7,2-3
cyclic,0.9,2-4
cyclic,1.0,3-4
cyclic,1.2,1-2
cyclic,1.4,1-3
cyclic,1.5,1-4
cyclic,1.7,2-3
cyclic,1.9,2-4
cyclic,2.0,3-4
cyclic,2.2,1-2
cyclic,2.4,1-3
cyclic,2.5,1-4
cyclic,2.7,2-3
cyclic,2.9,2-4
cyclic,3.0,3-4
cyclic,3.2,1-2
cyclic,3.4,1-3
cyclic,3.5,1-4
cyclic,3.7,2-3
cyclic,3.9,2-4
cyclic,4.0,3-4
cyclic,4.2,1-2
cyclic,4.4,1-3
cyclic,4.5,1-4
cyclic,4.7,2-3
cyclic,4.9,2-4
cyclic,5.0,3-4
cyclic,5.2,1-2
cyclic,5.4,1-3
cyclic,5.5,1-4
cyclic,5.7,2-3
cyclic,5.9,2-4
cyclic,6.0,3-4
cyclic,6.2,1-2
cyclic,6.4,1-3
cyclic,6.5,1-4
cyclic,6.7,2-3
cyclic,6.9,2-4
cyclic,7.0,3-4
cyclic,7.2,1-2
cyclic,7.4,1-3
cyclic,7.5,1-4
cyclic,7.7,2-3
cyclic,7.9,2-4
cyclic,8.0,3-4
cyclic,8.2,1-2
cyclic,8.4,1-3
cyclic,8.5,1-4
cyclic,8.7,2-3
cyclic,8.9,2-4
cyclic,9.0,3-4
cyclic,9.2,1-2
cyclic,9.4,1-3
cyclic,9.5,1-4
cyclic,9.7,2-3
cyclic,9.9,2-4
cyclic,10.0,3-4
cyclic,10.2,1-2
cyclic,10.4,1-3
cyclic,10.5,1-4
cyclic,10.7,2-3
cyclic,10.9,2-4
cyclic,11.0,3-4
cyclic,11.2,1-2
cyclic,11.4,1-3
cyclic,11.5,1-4
cyclic,11.7,2-3
cyclic,11.9,2-4
cyclic,12.0,3-4
cyclic,12.2,1-2
cyclic,12.4,1-3
cyclic,12.5,1-4
cyclic,12.7,2-3
cyclic,12.9,2-4
cyclic,13.0,3-4
cyclic,13.2,1-2
cyclic,13.4,1-3
cyclic,13.5,1-4
cyclic,13.7,2-3
cyclic,13.9,2-4
cyclic,14.0,3-4
cyclic,14.2,1-2
cyclic,14.4,1-3
cyclic,14.5,1-4
cyclic,14.7,2-3
cyclic,14.9,2-4
cyclic,15.0,3-4
cyclic,15.2,1-2
cyclic,15.4,1-3
cyclic,15.5,1-4
cyclic,15.7,2-3
cyclic,15.9,2-4
cyclic,16.0,3-4
cyclic,16.2,1-2
cyclic,16.4,1-3
cyclic,16.5,1-4
cyclic,16.7,2-3
cyclic,16.9,2-4
cyclic,17.0,3-4
cyclic,17.2,1-2
cyclic,17.4,1-3
